Citra,LuasInti,KelilingInti,SolidityInti,GranularityInti,CircularityInti,RerataRInti,RerataGInti,RerataBInti,EntropiInti,EnergiInti,KontrasInti,HomogenitasInti,LuasSitoplasma,KelilingSitoplasma,SoliditySitoplasma,GranularitySitoplasma,CircularitySitoplasma,RerataRSitoplasma,RerataGSitoplasma,RerataBSitoplasma,EntropiSitoplasma,EnergiSitoplasma,KontrasSitoplasma,HomogenitasSitoplasma,LuasNormalInti,KelilingNormalInti,Eccentricity,LIperLP ,KIperKP
Stab,123969,6462,0.295247,102.303215,0.037307,63.891193,2.571747,46.262878,0.932153,0.514987,45.557014,0.883846,265103,29073,0.286183,102.756943,0.003941,70.320107,45.054596,63.443935,1.130313,0.450731,516.088745,0.840661,0.28108,2.422039,0.36915,0.467626,0.222268
Stab,109063,4005,0.320006,116.192955,0.085444,113.921272,3.651691,77.458176,1.467777,0.258547,62.959694,0.803603,147518,5202,0.323864,86.960968,0.068504,39.707912,22.55279,33.230209,0.713614,0.675634,249.811783,0.90098,0.490784,2.123542,0.657275,0.73932,0.769896
Stab,88902,6876,0.263617,105.193008,0.023629,73.925392,1.293661,43.801189,1.051345,0.442931,52.795502,0.864077,190507,11703,0.307045,107.761177,0.017479,83.755722,45.663174,71.746063,1.445194,0.375688,371.365234,0.778078,0.33164,3.318533,0.288422,0.46666,0.587542
Stab,106342,5292,0.295493,91.398552,0.047717,66.520966,1.960479,40.859715,1.110723,0.422904,30.426176,0.854125,218197,8520,0.32395,92.194046,0.037773,69.163094,46.118847,62.392372,1.250987,0.395777,195.478271,0.827461,0.347854,2.392405,0.329547,0.487367,0.621127
Stab,94131,4908,0.266979,94.076912,0.049106,63.491982,1.41152,39.49147,1.003575,0.46764,36.93808,0.872939,200380,16989,0.3053,94.856171,0.008724,69.786461,51.556633,63.62077,1.217541,0.405566,430.82901,0.825883,0.314384,2.241096,0.406231,0.469762,0.288893
Stab,102484,4725,0.305481,103.877968,0.057685,95.505524,3.599373,63.001663,1.40726,0.290488,47.538857,0.797366,152973,12198,0.307516,86.158295,0.01292,46.189968,31.722872,40.619892,0.907402,0.584948,448.055023,0.871485,0.459158,2.5,0.671061,0.669948,0.387359
Stab,92536,5049,0.274926,95.085083,0.045615,70.064522,2.111349,39.528919,1.140955,0.413913,42.360748,0.848009,172587,17439,0.303687,92.699715,0.007131,60.692005,43.098606,55.553284,1.150714,0.466851,513.248901,0.83263,0.354373,2.467742,0.655095,0.53617,0.289523
Monosit,129216,4314,0.320078,113.707809,0.08725,115.579262,5.655087,85.686668,1.5583,0.24035,62.681309,0.776246,178198,5556,0.325166,89.178825,0.072542,43.545135,26.153223,37.367371,0.772097,0.644852,217.223389,0.89587,0.509085,2.139881,0.649134,0.725126,0.776458
Monosit,114657,4413,0.311111,112.205757,0.073985,106.256523,3.7227,72.452324,1.432628,0.275988,60.638073,0.807123,160959,5361,0.32162,88.404167,0.070377,42.937191,25.059303,36.143475,0.789675,0.646225,241.498276,0.890075,0.473666,2.242378,0.659025,0.712337,0.823167
Monosit,121175,5061,0.30757,113.36924,0.05945,99.122177,4.427305,72.39724,1.396244,0.318516,62.616222,0.806605,175089,4863,0.328024,89.853371,0.093038,43.785767,26.707319,38.194157,0.795705,0.644301,221.371155,0.887775,0.433974,2.39404,0.513667,0.692077,1.040716
Monosit,104011,3708,0.322539,110.45723,0.095063,124.490631,6.620886,83.460106,1.777621,0.19044,97.929825,0.742968,120010,4503,0.324418,62.235123,0.074374,18.888565,12.56016,17.758535,0.3938,0.825285,292.326294,0.941454,0.562045,2.15331,0.718546,0.866686,0.823451
Monosit,96273,3993,0.301019,111.004242,0.075878,91.181664,4.172386,59.789169,1.272941,0.353791,60.273594,0.834667,133693,4698,0.32509,82.082512,0.076119,35.378483,19.744875,28.819059,0.653393,0.703343,210.2491,0.911482,0.403701,2.0435,0.677162,0.720105,0.849936
Monosit,96173,3870,0.308567,103.485115,0.080694,68.346786,4.284465,45.635136,1.053528,0.481689,44.659443,0.856942,143774,7776,0.304378,79.885765,0.02988,33.605839,21.906698,26.320499,0.639669,0.713709,248.48671,0.915522,0.304284,1.703345,0.587941,0.668918,0.497685
Monosit,85839,3729,0.288729,111.323448,0.077573,94.092064,6.088158,61.769779,1.406101,0.336565,77.301659,0.797876,119010,4923,0.323602,80.166733,0.061707,35.021996,24.013062,29.913292,0.665705,0.694833,268.005005,0.911111,0.417602,2.055678,0.475305,0.721276,0.757465
Monosit,136577,4032,0.326354,108.390923,0.105571,119.045479,3.411752,76.25853,1.491996,0.206722,61.151703,0.805143,147825,4317,0.32841,44.724205,0.099677,9.71176,5.887224,7.71958,0.232772,0.904743,176.26825,0.966494,0.547745,2.018018,0.779937,0.92391,0.933982
Monosit,146563,5649,0.298928,104.193962,0.057715,75.515259,5.223367,55.9217,1.193544,0.426454,54.868855,0.827729,233251,11838,0.31332,87.174171,0.020916,43.859131,29.996998,39.028248,0.796213,0.625498,272.613586,0.892048,0.345345,2.16769,0.843572,0.628349,0.477192
Monosit,91070,3828,0.301187,105.688354,0.078098,81.015099,3.252646,50.007629,1.198746,0.393791,51.355846,0.842853,123871,5370,0.323341,73.921806,0.05398,28.928707,19.050049,23.98419,0.563427,0.743351,209.010529,0.92344,0.37099,1.931382,0.614641,0.7352,0.712849
Monosit,135626,4956,0.311988,104.700867,0.069389,106.956467,10.345136,76.138062,1.730713,0.235564,63.750416,0.728628,184727,7731,0.319318,79.027008,0.038839,37.493038,26.6766,32.31942,0.742065,0.654737,257.546448,0.899664,0.512396,2.408163,0.728791,0.734197,0.641055
Monosit,97495,3846,0.312028,97.142479,0.082827,88.842461,2.20989,54.286346,1.365935,0.292966,41.15604,0.812631,148873,5724,0.322127,84.220955,0.057099,47.296314,28.234535,36.386784,0.937943,0.567731,199.469681,0.86988,0.457319,2.081169,0.530903,0.654887,0.671908
Monosit,110828,4188,0.316165,96.225449,0.079405,103.254303,2.666443,64.650078,1.56561,0.212688,43.512264,0.782287,151445,6111,0.322622,75.727806,0.050961,37.230976,22.537058,31.107288,0.806348,0.635443,207.134567,0.882741,0.537864,2.306167,0.449775,0.731804,0.685322
Monosit,112122,5940,0.295739,95.5718,0.039933,98.463493,3.488565,58.718182,1.595155,0.229165,59.561954,0.771639,160883,6234,0.324413,80.096848,0.052022,42.90023,24.478533,34.920082,0.91199,0.589427,213.052109,0.865488,0.518553,3.193548,0.470889,0.696916,0.952839
Monosit,72265,3126,0.322805,91.209816,0.092931,89.767899,0.866613,45.573273,1.302547,0.254809,22.98237,0.834257,100826,5892,0.314862,73.920792,0.036497,36.318733,19.914919,28.14065,0.839473,0.634169,227.968414,0.874413,0.495563,2.045811,0.562219,0.71673,0.53055
